Date,Open,High,Low,Close,Vol.,Change %,high_low,high_close,low_close,TR,ATR
"Mar 08, 2021",173.95,174.0,173.71,174.01,15.50K,0.01%,0.28999999999999204,0.0,0.28999999999999204,0.28999999999999204,0.8439603960396048
"Mar 09, 2021",170.93,171.7,170.83,171.23,740.72K,-1.60%,0.8699999999999761,2.3100000000000023,3.1799999999999784,3.1799999999999784,0.851644736842106
"Mar 10, 2021",171.38,171.53,171.07,171.32,588.85K,0.05%,0.46000000000000796,0.30000000000001137,0.1599999999999966,0.46000000000000796,0.8503606557377057
"Mar 11, 2021",171.43,172.2,171.3,171.64,986.92K,0.19%,0.8999999999999773,0.8799999999999955,0.01999999999998181,0.8999999999999773,0.8505228758169942
"Mar 12, 2021",171.62,171.65,171.05,171.12,733.60K,-0.30%,0.5999999999999943,0.010000000000019327,0.589999999999975,0.5999999999999943,0.8497068403908803
"Mar 15, 2021",171.32,171.87,171.2,171.78,653.50K,0.39%,0.6700000000000159,0.75,0.07999999999998408,0.75,0.8493831168831176
"Mar 16, 2021",171.77,172.0,171.64,171.78,689.01K,0.00%,0.36000000000001364,0.21999999999999886,0.14000000000001478,0.36000000000001364,0.8477993527508099
"Mar 17, 2021",171.68,171.8,170.98,171.08,817.35K,-0.41%,0.8200000000000216,0.020000000000010232,0.8000000000000114,0.8200000000000216,0.8477096774193557
"Mar 18, 2021",171.44,171.47,170.52,170.72,960.18K,-0.21%,0.9499999999999886,0.38999999999998636,0.5600000000000023,0.9499999999999886,0.848038585209004
"Mar 19, 2021",170.96,171.43,170.93,171.22,664.88K,0.29%,0.5,0.710000000000008,0.21000000000000796,0.710000000000008,0.8475961538461547
"Mar 22, 2021",171.3,171.8,171.23,171.49,584.36K,0.16%,0.5700000000000216,0.5800000000000125,0.009999999999990905,0.5800000000000125,0.8467412140575088
"Mar 23, 2021",171.54,172.17,171.42,171.92,775.98K,0.25%,0.75,0.6799999999999784,0.0700000000000216,0.75,0.8464331210191091
"Mar 24, 2021",172.19,172.44,171.93,172.17,700.32K,0.15%,0.5099999999999909,0.5200000000000102,0.010000000000019327,0.5200000000000102,0.8453968253968264
"Mar 25, 2021",172.3,172.66,172.15,172.58,641.25K,0.24%,0.5099999999999909,0.4900000000000091,0.01999999999998181,0.5099999999999909,0.8443354430379756
"Mar 26, 2021",172.56,172.58,171.91,172.12,628.46K,-0.27%,0.6700000000000159,0.0,0.6700000000000159,0.6700000000000159,0.8437854889589913
"Mar 29, 2021",172.08,172.34,171.45,171.62,623.82K,-0.29%,0.8900000000000148,0.21999999999999886,0.6700000000000159,0.8900000000000148,0.8439308176100638
"Mar 30, 2021",171.53,171.56,170.71,171.0,932.15K,-0.36%,0.8499999999999943,0.060000000000002274,0.9099999999999966,0.9099999999999966,0.8441379310344838
"Mar 31, 2021",171.14,171.4,170.88,171.28,771.11K,0.16%,0.5200000000000102,0.4000000000000057,0.12000000000000455,0.5200000000000102,0.8431250000000009
"Apr 01, 2021",171.1,171.86,171.07,171.83,571.20K,0.32%,0.7900000000000205,0.5800000000000125,0.21000000000000796,0.7900000000000205,0.8429595015576333
"Apr 02, 2021",171.73,171.73,171.73,171.73,-,-0.06%,0.0,0.10000000000002274,0.10000000000002274,0.10000000000002274,0.8406521739130445
"Apr 06, 2021",171.55,171.89,171.32,171.68,595.43K,-0.03%,0.5699999999999932,0.1599999999999966,0.4099999999999966,0.5699999999999932,0.8398142414860691
"Apr 07, 2021",171.67,172.06,171.6,171.67,666.40K,-0.01%,0.46000000000000796,0.37999999999999545,0.0800000000000125,0.46000000000000796,0.8386419753086432
"Apr 08, 2021",171.67,172.12,171.63,171.89,573.51K,0.13%,0.4900000000000091,0.45000000000001705,0.03999999999999204,0.4900000000000091,0.837569230769232
"Apr 09, 2021",171.98,172.07,171.15,171.37,734.48K,-0.30%,0.9199999999999875,0.18000000000000682,0.7399999999999807,0.9199999999999875,0.8378220858895716
"Apr 12, 2021",171.25,171.87,171.23,171.3,664.71K,-0.04%,0.6400000000000148,0.5,0.14000000000001478,0.6400000000000148,0.837217125382264
"Apr 13, 2021",171.22,171.54,170.98,171.26,852.16K,-0.02%,0.5600000000000023,0.23999999999998067,0.3200000000000216,0.5600000000000023,0.8363719512195134
"Apr 14, 2021",171.57,171.62,170.66,170.87,748.30K,-0.23%,0.960000000000008,0.36000000000001364,0.5999999999999943,0.960000000000008,0.8367477203647428
"Apr 15, 2021",170.66,171.52,170.6,171.33,775.72K,0.27%,0.9200000000000159,0.6500000000000057,0.27000000000001023,0.9200000000000159,0.8370000000000012
"Apr 16, 2021",171.28,171.31,170.77,170.91,647.84K,-0.25%,0.539999999999992,0.020000000000010232,0.5600000000000023,0.5600000000000023,0.8361631419939588
"Apr 19, 2021",170.94,171.07,170.17,170.48,819.39K,-0.25%,0.9000000000000057,0.1599999999999966,0.7400000000000091,0.9000000000000057,0.8363554216867483
"Apr 20, 2021",170.38,170.93,170.09,170.74,820.26K,0.15%,0.8400000000000034,0.45000000000001705,0.38999999999998636,0.8400000000000034,0.8363663663663675
